nx,ny,nz,frecuencia,tipo
0,1,0,29.26621160409556,axial
1,0,0,41.727493917274934,axial
1,1,0,50.9675866632109,tangencial
0,2,0,58.53242320819112,axial
0,0,1,68.87550200803211,axial
1,2,0,71.88343561098765,tangencial
0,1,1,74.83545896507975,tangencial
1,0,1,80.52961272398281,tangencial
2,0,0,83.45498783454987,axial
1,1,1,85.68272677226345,oblicuo
0,3,0,87.79863481228668,axial
2,1,0,88.43780942628874,tangencial
0,2,1,90.3873848691355,tangencial
1,3,0,97.20999960661196,tangencial
1,2,1,99.55432231750385,oblicuo
2,2,0,101.9351733264218,tangencial
2,0,1,108.20614479466175,tangencial
0,3,1,111.59047921646236,tangencial
2,1,1,112.09407171201785,oblicuo
0,4,0,117.06484641638224,axial
1,3,1,119.13697495058338,oblicuo
2,3,0,121.13354312231665,tangencial
2,2,1,123.02282039502302,oblicuo
1,4,0,124.27937083485487,tangencial
3,0,0,125.18248175182482,axial
3,1,0,128.558021450245,tangencial
0,4,1,135.82346278662462,tangencial
0,0,2,137.75100401606423,axial
3,2,0,138.1908039782993,tangencial
2,3,1,139.3455060137376,oblicuo
0,1,2,140.82560225005057,tangencial
1,4,1,142.08869339946023,oblicuo
3,0,1,142.87927951387627,tangencial
2,4,0,143.7668712219753,tangencial
1,0,2,143.9323551396626,tangencial
3,1,1,145.84580781105808,oblicuo
0,5,0,146.3310580204778,axial
1,1,2,146.87761571357856,oblicuo
0,2,2,149.6709179301595,tangencial
1,5,0,152.16426088279948,tangencial
3,3,0,152.90275998963273,tangencial
3,2,1,154.40379879079134,oblicuo
1,2,2,155.37878691337744,oblicuo
2,4,1,159.4137636398265,oblicuo
2,0,2,161.05922544796562,tangencial
0,5,1,161.73006312448803,tangencial
0,3,2,163.35219429911257,tangencial
2,1,2,163.6966256327671,oblicuo
4,0,0,166.90997566909974,axial
1,5,1,167.02633644688223,oblicuo
3,3,1,167.69940008630223,oblicuo
2,5,0,168.456265944183,tangencial
1,3,2,168.59751816367654,oblicuo
4,1,0,169.45633986226412,tangencial
2,2,2,171.3654535445269,oblicuo
3,4,0,171.39087491473143,tangencial
