nx,ny,nz,frecuencia,tipo
0,1,0,42.88,axial
0,0,1,49.00,axial
1,0,0,57.166666666666664,axial
0,1,1,65.10964310299973,tangencial
1,1,0,71.45833333333334,tangencial
1,0,1,75.29294640122524,tangencial
0,2,0,85.75,axial
1,1,1,86.64463862685201,oblicuo
0,0,2,98.00,axial
0,2,1,98.76265741665723,tangencial
1,2,0,103.05867395701236,tangencial
0,1,2,106.96852632900949,tangencial
1,0,2,113.4549592471734,tangencial
1,2,1,114.11437366860397,oblicuo
2,0,0,114.33333333333333,axial
1,1,2,121.28599837894635,oblicuo
2,1,0,122.1080535268297,tangencial
2,0,1,124.39096072911049,tangencial
0,3,0,128.63,axial
0,2,2,130.21928620599945,tangencial
2,1,1,131.57270513336385,oblicuo
0,3,1,137.6422559572459,tangencial
1,3,0,140.75659275066934,tangencial
1,2,2,142.21494393268864,oblicuo
2,2,0,142.91666666666669,tangencial
0,0,3,147.00,axial
1,3,1,149.04166666666666,oblicuo
2,0,2,150.58589280245047,tangencial
2,2,1,151.08333333333334,oblicuo
0,1,3,153.13,tangencial
2,1,2,156.57067648864236,oblicuo
1,0,3,157.72453131259505,tangencial
0,3,2,161.70464008494002,tangencial
1,1,3,163.44813673694105,oblicuo
0,2,3,170.1824388707601,tangencial
0,4,0,171.50,axial
3,0,0,171.50,axial
1,3,2,171.51215234722514,oblicuo
2,3,0,172.09445585523986,tangencial
2,2,2,173.28927725370403,oblicuo
3,1,0,176.7781536983572,tangencial
0,4,1,178.3626922873727,tangencial
3,0,1,178.3626922873727,tangencial
2,3,1,178.93435035261146,oblicuo
1,2,3,179.5274081520083,oblicuo
1,4,0,180.77687290629237,tangencial
3,1,1,183.44349436543123,oblicuo
2,0,3,186.22865276619254,tangencial
1,4,1,187.29996737260203,oblicuo
2,1,3,191.10043625306332,oblicuo
3,2,0,191.74282907060697,tangencial
0,3,3,195.32892930899916,tangencial
0,0,4,196.00,axial
0,4,2,197.52531483331447,tangencial
3,0,2,197.52531483331447,tangencial
3,2,1,197.90,oblicuo
2,3,2,198.04166666666666,oblicuo
0,1,4,200.63465708845018,tangencial
3,1,2,202.13,oblicuo
1,3,3,203.52252554146867,oblicuo
1,0,4,204.16666666666666,tangencial
2,2,3,205.02237344034214,oblicuo
1,4,2,205.6314124295648,oblicuo
