nx,ny,nz,frecuencia,tipo
0,0,1,68.87550200803211,axial
0,0,2,137.75100401606423,axial
0,0,3,206.62650602409636,axial
0,0,4,275.50200803212846,axial
0,1,0,30.8453237410072,axial
0,1,1,75.4670045353993,tangencial
0,1,2,141.1622226522425,tangencial
0,1,3,208.9161242901406,tangencial
0,1,4,277.22335837086763,tangencial
0,2,0,61.6906474820144,axial
0,2,1,92.46388897082258,tangencial
0,2,2,150.9340090707986,tangencial
0,2,3,215.6391638327233,tangencial
0,2,4,282.324445304485,tangencial
0,3,0,92.5359712230216,axial
0,3,1,115.35484708951903,tangencial
0,3,2,165.94651270099538,tangencial
0,3,3,226.4010136061979,tangencial
0,3,4,290.62736003329564,tangencial
0,4,0,123.3812949640288,axial
0,4,1,141.30385247352285,tangencial
0,4,2,184.92777794164516,tangencial
0,4,3,240.66045985729897,tangencial
0,5,0,154.22661870503597,axial
0,5,1,168.90732575601032,tangencial
0,5,2,206.78778741652587,tangencial
0,5,3,257.8378616668128,tangencial
0,6,0,185.0719424460432,axial
0,6,1,197.47267825603103,tangencial
0,6,2,230.70969417903805,tangencial
0,6,3,277.39166691246777,tangencial
0,7,0,215.9172661870504,axial
0,7,1,226.63649444550632,tangencial
0,7,2,256.116389450428,tangencial
0,7,3,298.85578266015784,tangencial
0,8,0,246.7625899280576,axial
0,8,1,256.19447801399065,tangencial
0,8,2,282.6077049470457,tangencial
0,9,0,277.60791366906477,axial
0,9,1,286.0244543890423,tangencial
1,0,0,41.727493917274934,axial
1,0,1,80.52961272398281,tangencial
1,0,2,143.9323551396626,tangencial
1,0,3,210.79776265497256,tangencial
1,0,4,278.6441102523992,tangencial
1,1,0,51.89043982569196,tangencial
1,1,1,86.2348683663528,oblicuo
1,1,2,147.20039691773084,oblicuo
1,1,3,213.0425561643253,oblicuo
1,1,4,280.34616846862514,oblicuo
1,2,0,74.47764587690985,tangencial
1,2,1,101.44335617587197,oblicuo
1,2,2,156.59584554770325,oblicuo
1,2,3,219.639324181924,oblicuo
1,2,4,285.3914437489347,oblicuo
1,3,0,101.50906224965382,tangencial
1,3,1,122.66998204802402,oblicuo
1,3,2,171.1123280954293,oblicuo
1,3,3,230.2142539256204,oblicuo
1,3,4,293.6076397993401,oblicuo
1,4,0,130.24641145005452,tangencial
1,4,1,147.33622254040358,oblicuo
1,4,2,189.5770735164214,oblicuo
1,4,3,244.2511835945587,oblicuo
1,5,0,159.77181749546685,tangencial
1,5,1,173.98525352070277,oblicuo
1,5,2,210.95585503426662,oblicuo
1,5,3,261.1925470941518,oblicuo
1,6,0,189.71770510252264,tangencial
1,6,1,201.83320441945665,oblicuo
1,6,2,234.45286677027747,oblicuo
1,6,3,280.5126033195187,oblicuo
1,7,0,219.91236797030265,tangencial
1,7,1,230.4458382422304,oblicuo
1,7,2,259.4933307307522,oblicuo
1,8,0,250.2657777975625,tangencial
1,8,1,259.5704033850496,oblicuo
1,8,2,285.6716623049137,oblicuo
1,9,0,280.7264459937951,tangencial
1,9,1,289.05219642335464,oblicuo
2,0,0,83.45498783454987,axial
2,0,1,108.20614479466175,tangencial
2,0,2,161.05922544796562,tangencial
2,0,3,222.84355047025883,tangencial
2,0,4,287.8647102793252,tangencial
2,1,0,88.97285536135395,tangencial
2,1,1,112.51668217651482,oblicuo
2,1,2,163.9863046067755,oblicuo
2,1,3,224.96817993413723,oblicuo
2,1,4,289.5125652210753,oblicuo
2,2,0,103.78087965138393,tangencial
2,2,1,124.55643603633443,oblicuo
2,2,2,172.4697367327056,oblicuo
2,2,3,231.22496399165243,oblicuo
2,2,4,294.4007938354617,oblicuo
2,3,0,124.6099553191989,tangencial
2,3,1,142.37793277580337,oblicuo
2,3,2,185.74977812123086,oblicuo
2,3,3,241.29267281950084,oblicuo
2,4,0,148.9552917538197,tangencial
2,4,1,164.10823781371846,oblicuo
2,4,2,202.88671235174394,oblicuo
2,4,3,254.71983027081242,oblicuo
2,5,0,175.35844693556515,tangencial
